num_round_functions,encryption_strength_score
1,0.0022727272727272735
10,0.002103786816269285
100,0.002311248073959939
1,0.002300613496932516
10,0.0021428571428571434
100,0.0021834061135371187
1,0.002127659574468086
10,0.002329192546583852
100,0.002232142857142857
1,0.002245508982035929
10,0.002329192546583851
100,0.0022123893805309743
1,0.0022156573116691287
10,0.002228826151560179
100,0.002124645892351275
1,0.0020979020979020983
10,0.002205882352941177
100,0.0017921146953405018
1,0.002097902097902098
10,0.002297090352220521
100,0.0017899761336515512
1,0.002016129032258065
10,0.0022865853658536593
100,0.0019893899204244036
1,0.001976284584980237
10,0.0021739130434782613
100,0.00178359096313912
